ID,First Name,Middle Name,Last Name,Category ID,Link to the SIGGRAPH History Archive,Category Description,Role
0470,Yoichiro,,Kawaguchi,1,,Award,2010 Distinguished Artist Award
0471,Yoichiro,,Kawaguchi,1,,Award,2018 SIGGRAPH Academy
0472,Yoichiro,,Kawaguchi,4,,Pioneer,1975 Pioneer
0473,Isaac,Victor,Kerlow,2,,Conference Committee,1991 Art Gallery Chair
0474,Isaac,Victor,Kerlow,2,,Conference Committee,1995 E-Tech Chair
0475,Isaac,Victor,Kerlow,2,,Conference Committee,2010 Computer Animation Festival Director
0476,Isaac,Victor,Kerlow,2,,Conference Committee,1991 Art and Design Show Chair
0477,Isaac,Victor,Kerlow,4,,Pioneer,1979 Pioneer
0478,Lawrence,,Kevin,4,,Pioneer,1989 Pioneer
0479,Lawrence,,Kevin,6,,Chapters,1996 Silicon Valley Chapter
0480,Jim,,Kilmer,2,,Conference Committee,2003 Student Volunteers Chair
0481,Jim,,Kilmer,2,,Conference Committee,2019 Pathfinders Coordinator
0482,Jim,,Kilmer,3,,Executive Committee,2006-2008 Executive Committee
0483,June,,Kim,2,,Conference Committee,2019-2022 International Resources Chair
0484,David,,Kirk,1,,Award,2002 Computer Graphics Achievement Award
0485,Johannes,,Kopf,1,,Award,2015 Significant New Researcher Award
