ID,First Name,Middle Name,Last Name,Category ID,Link to the SIGGRAPH History Archive,Category Description,Role
0184,Michael,F.,Cohen,1,,Award,1998 Computer Graphics Achievement Award
0185,Michael,F.,Cohen,1,,Award,2019 Steven Anson Coons Award
0186,Michael,F.,Cohen,1,,Award,2018 SIGGRAPH Academy
0187,Michael,F.,Cohen,2,,Conference Committee,1998 Technical Papers Chair
0188,Michael,F.,Cohen,4,,Pioneer,1998 Pioneer
0189,Daniel,,Cohen-Or,1,,Award,2018 Computer Graphics Achievement Award
0190,Dan,,Collins,2,,Conference Committee,2002 Studio Chair
0191,Joan,,Collins,2,,Conference Committee,1987 Film & Video Show
0192,Joan,,Collins,2,,Conference Committee,1989 A/V Chair
0193,Joan,,Collins,2,,Conference Committee,1995 Electronic Theater Co-Director
0194,Joan,,Collins,4,,Pioneer,1980 Pioneer
0195,Joan,,Collins,5,,SIGGRAPH Committee,History Committee
0196,Joan,,Collins,6,,Chapters,1981 LA Chapter
0197,Jon,,Cone,2,,Conference Committee,2001 Studio Chair
0198,Liliana,,Conlisk-Gallegos,5,,SIGGRAPH Committee,2021-2023 Digital Arts Committee
0199,Coco,,Conn,2,,Conference Committee,1992-1993 SIGKids Chair
0200,Coco,,Conn,2,,Conference Committee,1995 E-Tech Chair
0201,Coco,,Conn,4,,Pioneer,1992 Pioneer
0202,Rob,L.,Cook,1,,Award,1987 Computer Graphics Achievement Award
0203,Rob,L.,Cook,1,,Award,2009 Steven Anson Coons Award
0204,Rob,L.,Cook,1,,Award,2018 SIGGRAPH Academy
0205,Rob,L.,Cook,2,,Conference Committee,1995 Papers Chair
0206,Rob,L.,Cook,3,,Executive Committee,"2004-2006, 2009, 2011 Executive Committee"
0207,Rob,L.,Cook,4,,Pioneer,1987 Pioneer
0208,Donna,J.,Cox,1,,Award,2019 Distinguished Artist Award
0209,Donna,J.,Cox,1,,Award,2019 SIGGRAPH Academy
0210,Donna,J.,Cox,2,,Conference Committee,1993 Panels Chair
0211,Donna,J.,Cox,2,,Conference Committee,2005 E-Tech Chair
0212,Donna,J.,Cox,3,,Executive Committee,1988-1991 Executive Committee
0213,Donna,J.,Cox,4,,Pioneer,1993 Pioneer
0214,Tom,,Craven,2,,Conference Committee,2006 E-Tech Chair
0215,Carolina,,Cruz-Neira,2,,Conference Committee,1996 International Liaisons Chair
0216,Carolina,,Cruz-Neira,4,,Pioneer,1995 Pioneer
0217,Chuck,,Csuri,1,,Award,2011 Distinguished Artist Award
0218,Chuck,,Csuri,1,,Award,2018 SIGGRAPH Academy
0219,Chuck,,Csuri,2,,Conference Committee,1980 CAF / Electronic Theater Chair
0220,Chuck,,Csuri,4,,Pioneer,1980
0221,Steve,,Cunningham,1,,Award,2004 Outstanding Service Award
0222,Steve,,Cunningham,3,,Executive Committee,1995-2001 Executive Committee
0223,Steve,,Cunningham,4,,Pioneer,1976 Pioneer
0224,Steve,,Cunningham,5,,SIGGRAPH Committee,1983 Education Committee
0225,Joe,,Cychosz,2,,Conference Committee,"2002, 2005, 2023 GraphicsNet Chair"
0226,Jenny,,Dana,2,,Conference Committee,"2014, 2016, 2018 General Submissions Committee"
0227,Jenny,,Dana,4,,Pioneer,1985 Pioneer
0228,Jenny,,Dana,5,,SIGGRAPH Committee,2015-2023 Information Technology Committee
0229,Jenny,,Dana,5,,SIGGRAPH Committee,2022-2023 Nominations Committee
0230,Jenny,,Dana,5,,SIGGRAPH Committee,1997-2023 Chapters Steering Committee
0231,Jenny,,Dana,6,,Chapters,1989-1991 New York City Chapter
0232,Jenny,,Dana,6,,Chapters,1992-1994 Syracuse University Chapter
0233,Jenny,,Dana,6,,Chapters,1994-1999 Silicon Valley Chapter
0234,Juan,Miguel,de Joya,2,,Conference Committee,2014 Posters Chair
0235,Midori,Kitagawa,De Leon,2,,Conference Committee,1995 International Liaisons
0236,Paul,E.,Debevec,1,,Award,2001 Significant New Researcher Award
0237,Paul,E.,Debevec,2,,Conference Committee,2007 Computer Animation Festival
0238,Paul,E.,Debevec,3,,Executive Committee,2009-2014 Executive Committee
0239,Paul,E.,Debevec,4,,Pioneer,1988 Pioneer
0240,Tom,A.,DeFanti,1,,Award,2000 Outstanding Service Award
0241,Tom,A.,DeFanti,2,,Conference Committee,1979 Conference Chair
0242,Tom,A.,DeFanti,2,,Conference Committee,"1975-1979, 1981 Computer Animation Festival"
0243,Tom,A.,DeFanti,2,,Conference Committee,1982 A/V Chair
0244,Tom,A.,DeFanti,2,,Conference Committee,1994 E-Tech Chair
0245,Tom,A.,DeFanti,3,,Executive Committee,1978-1984 Executive Committee
0246,Tom,A.,DeFanti,4,,Pioneer,1974 Pioneer
0247,Laurent,,Delayen,2,,Conference Committee,2019 Games Co-Chair
0248,Rob,,DeMillo,4,,Pioneer,1978 Pioneer
0249,Tony,,DeRose,1,,Award,1999 Computer Graphics Achievement Award
0250,Tony,,DeRose,1,,Award,2018 SIGGRAPH Academy
0251,Tony,,DeRose,2,,Conference Committee,2010 Technical Papers Chair
0252,Mathieu,,Desbrun,1,,Award,2003 Significant New Researcher Award
0253,Mathieu,,Desbrun,1,,Award,2021 SIGGRAPH Academy
0254,Mathieu,,Desbrun,2,,Conference Committee,2018 Technical Papers Chair
0255,Stephane,,Deverly,4,,Pioneer,1992 Pioneer
0256,Paul,,Dietz,2,,Conference Committee,2021 E-Tech Chair
0257,Michael,,Doyle,4,,Pioneer,1984 Pioneer
0258,Hank,,Driskill,2,,Conference Committee,1996 Student Volunteers Chair
0259,Andrew,,Duchowski,2,https://history.siggraph.org/person/amit-zoran-2/,Conference Committee,2019-2020 Education Chair
0260,Dena,,Eber,2,,Conference Committee,2001 Art Gallery Chair
0261,Dena,,Eber,1,,Pioneer,1997 Pioneer
0262,David,S.,Ebert,2,,Conference Committee,1997 Sketches & Apps Chair
0263,David,S.,Ebert,3,,Executive Committee,2000 EC Director
0264,David,S.,Ebert,4,,Pioneer,1997 Pioneer
0265,Ernest,,Edmonds,1,,Award,2017 Distinguished Artist Award
0266,Ernest,,Edmonds,1,,Award,2018 SIGGRAPH Academy
0267,Ernest,,Edmonds,4,,Pioneer,1968 Pioneer
0268,Mark,,Elendt,2,,Conference Committee,2010 Unified Jury Chair
0269,Mark,,Elendt,2,,Conference Committee,2011 General Submissions Chair
0270,Mark,,Elendt,2,,Conference Committee,2013-2014 Dailies Chair
0271,Mark,,Elendt,2,,Conference Committee,2017 Courses Chair
0272,Mark,,Elendt,2,,Conference Committee,2018-2019 Birds of a Feather Chair
0273,Mark,,Elendt,2,,Conference Committee,2021 Electronic Theater Director
0274,Mark,,Elendt,4,,Pioneer,1983 Pioneer
0275,Mark,,Elendt,5,,SIGGRAPH Committee,2017-2019 Nominations Committee
0276,Mark,,Elendt,5,,SIGGRAPH Committee,2021-2023 Practitioner Award Committee
0277,Heather,,Elliott-Famularo,2,,Conference Committee,2004 E-Tech Chair
0278,Bob,A.,Ellis,2,,Conference Committee,1980 Conference Chair
0279,Bob,A.,Ellis,3,,Executive Committee,1978-1983 Executive Committee
0280,Bob,A.,Ellis,3,,Executive Committee,1984-1986 CAG Chair
0281,Bob,A.,Ellis,4,,Pioneer,1974 Pioneer
0282,Nick,,England,3,,Executive Committee,1999 EC Director
0283,Nick,,England,4,,Pioneer,Pioneer
0284,Eveline,,Falcão,2,,Conference Committee,2022-2023 Creative Development Director
0285,Steven,K.,Feiner,2,,Conference Committee,"1995-1998, 2002-2003, 2008-2009 Papers Committee"
0286,Steven,K.,Feiner,4,,Pioneer,1977 Pioneer
0287,Adam,,Finkelstein,2,https://history.siggraph.org/person/adam-finkelstein/,Conference Committee,2007 Posters Chair
0288,Adam,,Finkelstein,2,https://history.siggraph.org/person/adam-finkelstein/,Conference Committee,2007 Sketches & Apps Chair
0289,Adam,,Finkelstein,2,https://history.siggraph.org/person/adam-finkelstein/,Conference Committee,2014 Technical Papers Chair
0290,Adam,,Finkelstein,3,https://history.siggraph.org/person/adam-finkelstein/,Executive Committee,2019-2020 Executive Committee
0291,John,,Finnegan,2,,Conference Committee,2006 Conference Chair
0292,John,,Finnegan,2,,Conference Committee,2003 Education Program Chair
0293,Eugene,,Fiume,1,,Award,2020 SIGGRAPH Academy
0294,Eugene,,Fiume,2,,Conference Committee,2001 Papers Chairs
0295,Tereza,,Flaxman,2,,Conference Committee,2010 FJORG! Chair
0296,Tereza,,Flaxman,5,,SIGGRAPH Committee,Education
0297,Tereza,,Flaxman,6,,Chapters,San Francisco Chapter
0298,Monika,,Fleischmann,1,,Award,2018 Distinguished Artist Award
0299,Monika,,Fleischmann,1,,Award,2018 SIGGRAPH Academy
0300,Jim,,Foley,1,,Award,1997 Steven Anson Coons Award
0301,Jim,,Foley,1,,Award,2018 SIGGRAPH Academy
0302,Jim,,Foley,2,,Conference Committee,1974 Technical Papers Chair
0303,Jim,,Foley,3,,Executive Committee,"1974, 2008-2010 Executive Committee"
0304,Jim,,Foley,4,,Pioneer,1967 Pioneer
0305,Angus,,Forbes,2,https://history.siggraph.org/person/angus-graeme-forbes/,Conference Committee,2018 Art Papers Chair
0306,Angus,,Forbes,2,https://history.siggraph.org/person/angus-graeme-forbes/,Conference Committee,2021 Art Gallery Chair
0307,Frank,,Foster,2,,Conference Committee,1987 CAF / Electronic Theater Chair
0308,Frank,,Foster,2,,Conference Committee,1995 CAF / Electronic Theater Chair
0309,Frank,,Foster,4,,Pioneer,1987 Pioneer
0310,Thierry,,Frey,1,,Award,2020 Outstanding Service Award
0311,Thierry,,Frey,2,,Conference Committee,2002 International Liaison
0312,Thierry,,Frey,2,,Conference Committee,2014 E-Tech Chair
0313,Thierry,,Frey,3,,Executive Committee,"2001-2003, 2006-2007, 2011 Executive Committee"
0314,Henry,,Fuchs,1,,Award,1992 Computer Graphics Achievement Award
0315,Henry,,Fuchs,1,,Award,2015 Steven Anson Coons Award
0316,Henry,,Fuchs,1,,Award,2018 SIGGRAPH Academy
0317,Henry,,Fuchs,2,,Conference Committee,1981 Technical Papers Chair
0318,Henry,,Fuchs,4,,Pioneer,1981 Pioneer
0319,Tom,A.,Funkhouser,1,,Award,2014 Computer Graphics Achievement Award
0320,Tom,A.,Funkhouser,1,,Award,2018 SIGGRAPH Academy
0321,Thomas,,Gambill,4,,Pioneer,1989 Pioneer
0322,Eduardo,Sumoes Lopes,Gastal,1,,Award,2016 Outstanding Doctoral Dissertation Award
0323,Joe,,Geigel,4,,Pioneer,1990 Pioneer
0324,Joe,,Geigel,6,,Chapters,2009-2018 Rochester Professional Chapter
0325,Darcy,,Gerbarg,2,,Conference Committee,1981 Art Gallery Chair
0326,Darcy,,Gerbarg,4,,Pioneer,1981 Pioneer
0327,Kearwood,John,Gilbert,4,,Pioneer,1996 Pioneer
0328,Copper ,,Giloth,1,,Award,2000 Outstanding Service Award
0329,Copper ,,Giloth,2,,Conference Committee,1982-1983 Art Gallery Chair
0330,Copper ,,Giloth,4,,Pioneer,1978 Pioneer
0331,Copper ,,Giloth,5,,SIGGRAPH Committee,2009-2016 Digital Arts Committee
0332,Copper ,,Giloth,5,,SIGGRAPH Committee,1992 Special Projects Director
0333,Andrew,,Glassner,2,https://history.siggraph.org/person/amit-zoran-2/,Conference Committee,1994 Technical Papers Chair
0334,Andrew,,Glassner,2,https://history.siggraph.org/person/amit-zoran-2/,Conference Committee,1994 Sketches & Apps Chair
0335,Andrew,,Glassner,2,https://history.siggraph.org/person/amit-zoran-2/,Conference Committee,2009 Conference Committee Director-at-Large
0336,Mashhuda,,Glencross,2,,Conference Committee,2014 Courses Chair
0337,Mashhuda,,Glencross,2,,Conference Committee,2016-2017 General Submissions Chair
0338,Mashhuda,,Glencross,2,,Conference Committee,2023 E-Tech Chair
0339,Mashhuda,,Glencross,3,,Executive Committee,2018-2020 Executive Committee
0340,Glenn,,Goldman,2,,Conference Committee,2013 Education Director
0341,Glenn,,Goldman,2,,Conference Committee,2015 Courses Chair
0342,Glenn,,Goldman,4,,Pioneer,1984 Pioneer
0343,Glenn,,Goldman,5,,SIGGRAPH Committee,2018-2023 Distinguished Educators Award Committee
0344,Glenn,,Goldman,5,,SIGGRAPH Committee,"2006-2007, 2010-2023 Education Committee"
0345,Sue,,Gollifer,2,,Conference Committee,2004 Art Gallery Chair
0346,Sue,,Gollifer,4,,Pioneer,1993 Pioneer
0347,Sue,,Gollifer,5,,SIGGRAPH Committee,2020-2023 External Relations Committee
0348,Sue,,Gollifer,5,,SIGGRAPH Committee,2004-2023 Digital Arts Committee
0349,Sue,,Gollifer,5,,SIGGRAPH Committee,Art Advisory Group Award Committee
0350,Julian,E.,Gomez,2,,Conference Committee,1981 Frame Buffer Show Administrator
0351,Julian,E.,Gomez,4,,Pioneer,1976 Pioneer
0352,Julian,E.,Gomez,5,,SIGGRAPH Committee,2020-2023 History Committee
